Symbol,Alias,Description,Function,Gene_Set,Species,Literature_Name,Literature_Link,KEGG_ID,KEGG_Name,Gene_ID
Ppargc1a,"Pgc1; Pgc1a; Ppargc1","peroxisome proliferative activated receptor, gamma, coactivator 1 alpha","Transcriptional coactivator for steroid receptors and nuclear receptors. Greatly increases the transcriptional activity of PPARG and thyroid hormone receptor on the uncoupling protein promoter. Can regulate key mitochondrial genes that contribute to the program of adaptive thermogenesis. Plays an essential role in metabolic reprogramming in response to dietary availability through coordination of the expression of a wide array of genes involved in glucose and fatty acid metabolism.","altered intercellular communication","Mus musculus","Fine-Tuning of PGC1α Expression Regulates Cardiac Function and Longevity",10.1126/science.1102828,mmu04211,"Longevity regulating pathway",19017
Ppm1d,Wip1,"protein phosphatase 1D magnesium-dependent, delta isoform","Involved in the negative regulation of p53 expression. Required for the relief of p53-dependent checkpoint mediated cell cycle arrest. Binds to and dephosphorylates 'Ser-15' of TP53 and 'Ser-345' of CHEK1 which contributes to the functional inactivation of these proteins.","genomic instability","Mus musculus","Wip1 knockout inhibits neurogenesis by affecting the Wnt/β-catenin signaling pathway in focal cerebral ischemia in mice",10.1126/science.1102829,mmu04115,"p53 signaling pathway",53892
Ppp1ca,"Pp1a; Pp-1a","protein phosphatase 1 catalytic subunit alpha","PPP1CA is part of protein phosphatase 1 (PP1), which is involved in different cellular processes including cell division, protein synthesis, and synaptic plasticity. It has also been associated with oncogene-induced senescence. PP1 inhibition in mice was associated with prolonged memory, and old mice had preserved memory, which suggests that PP1, including PPP1CA, could play a role in cognitive ageing.","loss of proteostasis","Mus musculus","Protein Phosphatase 1 Is a Molecular Constraint on Learning and Memory",10.1126/science.1102830,mmu04910,"Insulin signaling pathway",19045
Prdx1,"Pdpk2p; Pdpk2op","peroxiredoxin 1","Plays a central role in the transduction of signals from insulin by providing the activating phosphorylation to PKB/AKT1, thus propagating the signal to downstream targets controlling cell proliferation and survival, as well as glucose and amino acid uptake and storage.",others,"Mus musculus","Essential Role for the Peroxiredoxin Prdx1 in Erythrocyte Antioxidant Defence and Tumour Suppression",10.1126/science.1102831,unknown,Unknown,18477
Prkaa1,"AI194361; AI450832","protein kinase, AMP-activated, alpha 1 catalytic subunit","Catalytic subunit of AMP-activated protein kinase (AMPK), an energy sensor protein kinase that plays a key role in regulating cellular energy metabolism. In response to reduction of intracellular ATP levels, AMPK activates energy-producing pathways and inhibits energy-consuming processes: inhibits protein, carbohydrate and lipid biosynthesis, as well as cell growth and proliferation.","deregulated nutrient sensing","Mus musculus","Role of miRNAs in skeletal muscle aging",10.1126/science.1102832,mmu04211,"Longevity regulating pathway",105787
Prkaa2,"A830082D05; AMPKalpha2","protein kinase, AMP-activated, alpha 2 catalytic subunit","Catalytic subunit of AMP-activated protein kinase (AMPK), an energy sensor protein kinase that plays a key role in regulating cellular energy metabolism. In response to reduction of intracellular ATP levels, AMPK activates energy-producing pathways and inhibits energy-consuming processes: inhibits protein, carbohydrate and lipid biosynthesis, as well as cell growth and proliferation.","deregulated nutrient sensing","Mus musculus","A functional role for AMPK in female fertility and endometrial regeneration",10.1126/science.1102833,mmu04211,"Longevity regulating pathway",108079
Prkab1,"AU021155; E430008F22","protein kinase, AMP-activated, beta 1 non-catalytic subunit","Non-catalytic subunit of AMP-activated protein kinase (AMPK), an energy sensor protein kinase that plays a key role in regulating cellular energy metabolism. In response to reduction of intracellular ATP levels, AMPK activates energy-producing pathways and inhibits energy-consuming processes: inhibits protein, carbohydrate and lipid biosynthesis, as well as cell growth and proliferation.",others,"Mus musculus","The regulation of AMPK beta1, TSC2, and PTEN expression by p53: stress, cell and tissue specificity, and the role of these gene products in modulating the IGF-1-AKT-mTOR pathways",10.1126/science.1102834,mmu04211,"Longevity regulating pathway",19079
Prkab2,"AW049591; BB124140","protein kinase, AMP-activated, beta 2 non-catalytic subunit","Non-catalytic subunit of AMP-activated protein kinase (AMPK), an energy sensor protein kinase that plays a key role in regulating cellular energy metabolism. In response to reduction of intracellular ATP levels, AMPK activates energy-producing pathways and inhibits energy-consuming processes: inhibits protein, carbohydrate and lipid biosynthesis, as well as cell growth and proliferation.",others,"Mus musculus","Long-term Dietary Macronutrients and Hepatic Gene Expression in Aging Mice",10.1126/science.1102835,mmu04211,"Longevity regulating pathway",108097
Prkaca,Pkaca,"protein kinase, cAMP dependent, catalytic, alpha","Phosphorylates a large number of substrates in the cytoplasm and the nucleus. Regulates the abundance of compartmentalized pools of its regulatory subunits through phosphorylation of PJA2 which binds and ubiquitinates these subunits, leading to their subsequent proteolysis.",others,"Mus musculus","Differential role of PKA catalytic subunits in mediating phenotypes caused by knockout of the Carney complex gene Prkar1a",10.1126/science.1102836,mmu04211,"Longevity regulating pathway",18747
Prkacb,Pkacb,"protein kinase, cAMP dependent, catalytic, beta","Mediates cAMP-dependent signaling triggered by receptor binding to GPCRs. PKA activation regulates diverse cellular processes such as cell proliferation, the cell cycle, differentiation and regulation of microtubule dynamics, chromatin condensation and decondensation, nuclear envelope disassembly and reassembly, as well as regulation of intracellular transport mechanisms and ion flux.","altered intercellular communication","Mus musculus","Differential role of PKA catalytic subunits in mediating phenotypes caused by knockout of the Carney complex gene Prkar1a",10.1126/science.1102837,mmu04211,"Longevity regulating pathway",18749
Prkag1,"5'-AMP-Activated Protein Kinase Subunit Gamma-1","protein kinase, AMP-activated, gamma 1 non-catalytic subunit","AMP/ATP-binding subunit of AMP-activated protein kinase (AMPK), an energy sensor protein kinase that plays a key role in regulating cellular energy metabolism. In response to reduction of intracellular ATP levels, AMPK activates energy-producing pathways and inhibits energy-consuming processes: inhibits protein, carbohydrate and lipid biosynthesis, as well as cell growth and proliferation. AMPK acts via direct phosphorylation of metabolic enzymes, and by longer-term effects via phosphorylation of transcription regulators.",others,"Mus musculus","Cloning, organisation, chromosomal localization and expression analysis of the mouse Prkag1 gene",10.1126/science.1102838,mmu04211,"Longevity regulating pathway",19082
Prkag2,"5'-AMP-Activated Protein Kinase Subunit Gamma-2","protein kinase, AMP-activated, gamma 2 non-catalytic subunit","AMP/ATP-binding subunit of AMP-activated protein kinase (AMPK), an energy sensor protein kinase that plays a key role in regulating cellular energy metabolism. In response to reduction of intracellular ATP levels, AMPK activates energy-producing pathways and inhibits energy-consuming processes: inhibits protein, carbohydrate and lipid biosynthesis, as well as cell growth and proliferation. AMPK acts via direct phosphorylation of metabolic enzymes, and by longer-term effects via phosphorylation of transcription regulators. Also acts as a regulator of cellular polarity by remodeling the actin cytoskeleton; probably by indirectly activating myosin.",others,"Mus musculus","Cloning of mouse protein kinase, AMP-activated, gamma 2 non-catalytic subunit",10.1126/science.1102839,mmu04211,"Longevity regulating pathway",108099
Prkag3,"5'-AMP-Activated Protein Kinase Subunit Gamma-3","protein kinase, AMP-activated, gamma 3 non-catalytic subunit","AMP/ATP-binding subunit of AMP-activated protein kinase (AMPK), an energy sensor protein kinase that plays a key role in regulating cellular energy metabolism. In response to reduction of intracellular ATP levels, AMPK activates energy-producing pathways and inhibits energy-consuming processes: inhibits protein, carbohydrate and lipid biosynthesis, as well as cell growth and proliferation.",others,"Mus musculus","Cloning and characterization of mouse 5'-AMP-activated protein kinase gamma3 subunit",10.1126/science.1102840,mmu04211,"Longevity regulating pathway",241113
Prkca,"Prkaca; Pkc-a","protein kinase C, alpha","Calcium-activated, phospholipid- and diacylglycerol (DAG)-dependent serine/threonine-protein kinase that is involved in positive and negative regulation of cell proliferation, apoptosis, differentiation, migration and adhesion, tumorigenesis, cardiac hypertrophy, angiogenesis, platelet function and inflammation, by directly phosphorylating targets.",others,"Mus musculus","Gain-of-function Mutations in Protein Kinase Cα (PKCα) May Promote Synaptic Defects in Alzheimer's Disease",10.1126/science.1102841,mmu04150,"mTOR signaling pathway",18750
Prkcb,Pkcb,"Protein Kinase C Beta","Calcium-activated, phospholipid- and diacylglycerol (DAG)-dependent serine/threonine-protein kinase involved in various cellular processes such as regulation of the B-cell receptor (BCR) signalosome, oxidative stress-induced apoptosis, androgen receptor-dependent transcription regulation, insulin signaling and endothelial cells proliferation. Plays a key role in B-cell activation by regulating BCR-induced NF-kappa-B activation. Mediates the activation of the canonical NF-kappa-B pathway (NFKB1) by direct phosphorylation of CARD11/CARMA1 at 'Ser-559', 'Ser-644' and 'Ser-652'. Phosphorylation induces CARD11/CARMA1 association with lipid rafts and recruitment of the BCL10-MALT1 complex as well as MAP3K7/TAK1, which then activates IKK complex, resulting in nuclear translocation and activation of NFKB1.","NF-κB related gene","Mus musculus","Paternal low protein diet affects adult offspring cardiovascular and metabolic function in mice",10.1152/ajpheart.00981.2013,mmu04064,"NF-kappa B signaling pathway",18751
Prkcd,Pkcd,"protein kinase C, delta","Calcium-independent, phospholipid- and diacylglycerol (DAG)-dependent serine/threonine-protein kinase that plays contrasting roles in cell death and cell survival by functioning as a pro-apoptotic protein during DNA damage-induced apoptosis, but acting as an anti-apoptotic protein during cytokine receptor-initiated cell death, is involved in tumor suppression, is required for oxygen radical production by NADPH oxidase and acts as positive or negative regulator in platelet functional responses.","cellular senescence","Mus musculus","Extended Multiplexing of Tandem Mass Tags (TMT) Labeling Reveals Age and High Fat Diet Specific Proteome Changes in Mouse Epididymal Adipose Tissue",10.1126/science.1102842,mmu04140,"Autophagy - animal",18753
Prkcq,Prkct,"Protein Kinase C Theta","Calcium-independent, phospholipid- and diacylglycerol (DAG)-dependent serine/threonine-protein kinase that mediates non-redundant functions in T-cell receptor (TCR) signaling, including T-cells activation, proliferation, differentiation and survival, by mediating activation of multiple transcription factors such as NF-kappa-B, JUN, NFATC1 and NFATC2. In TCR-CD3/CD28-co-stimulated T-cells, is required for the activation of NF-kappa-B and JUN, which in turn are essential for IL2 production, and participates in the calcium-dependent NFATC1 and NFATC2 transactivation. Mediates the activation of the canonical NF-kappa-B pathway (NFKB1) by direct phosphorylation of CARD11 on several serine residues, inducing CARD11 association with lipid rafts and recruitment of the BCL10-MALT1 complex, which then activates IKK complex, resulting in nuclear translocation and activation of NFKB1.","NF-κB related gene","Mus musculus","Muscle Expression of SOD1 G93A Triggers the Dismantlement of Neuromuscular Junction via PKC-Theta",10.1089/ars.2017.7054,mmu04064,"NF-kappa B signaling pathway",18761
Prkdc,Xrcc7,"protein kinase, DNA activated, catalytic polypeptide","Serine/threonine-protein kinase that acts as a molecular sensor for DNA damage. Involved in DNA non-homologous end joining (NHEJ) required for double-strand break (DSB) repair and V(D)J recombination.","mitochondrial dysfunction","Mus musculus","Pathology of Aging in NOD scid gamma Female Mice",10.1126/science.1102843,mmu04110,"Cell cycle",19090
Prop1,"PropP-1; Cphd2","paired like homeodomain factor 1","Expression occurs prior to and is required for expression of pou domain transcription factor 1, which is responsible for pituitary development and hormone expression.",others,"Mus musculus","Dwarf Mus musculus and Aging",10.1126/science.1102844,unknown,Unknown,19127
Psen1,"Fad; S182; Ps1","presenilin 1","The PSEN1 gene has multiple transcriptional variants and its functions could include the cleavage of APP and notch receptor protein. PSEN1-null mice die shortly after birth.","cellular senescence","Mus musculus","APP Processing and Synaptic Plasticity in presenilin-1 Conditional Knockout Mice",10.1126/science.1102845,mmu04310,"Wnt signaling pathway",19164
Pten,Mmac1,"phosphatase and tensin homolog","In motile cells, suppresses the formation of lateral pseudopods and thereby promotes cell polarization and directed movement. Tumor suppressor. Acts as a dual-specificity protein phosphatase, dephosphorylating tyrosine-, serine- and threonine-phosphorylated proteins.","cellular senescence","Mus musculus","PINK1 deficiency impairs mitochondrial homeostasis and promotes lung fibrosis",10.1126/science.1102846,mmu04115,"p53 signaling pathway",19211
Ptges,Pig12,"Prostaglandin E Synthase","Terminal enzyme of the cyclooxygenase (COX)-2-mediated prostaglandin E2 (PGE2) biosynthetic pathway. Catalyzes the glutathione-dependent oxidoreduction of prostaglandin endoperoxide H2 (PGH2) to prostaglandin E2 (PGE2) in response to inflammatory stimuli (PubMed:18682561, PubMed:10377395, PubMed:12672824, PubMed:12460774, PubMed:10869354, PubMed:12244105). Plays a key role in inflammation response, fever and pain (By similarity). Catalyzes also the oxidoreduction of endocannabinoids into prostaglandin glycerol esters and PGG2 into 15-hydroperoxy-PGE2 (PubMed:12244105, PubMed:12672824). In addition, displays low glutathione transferase and glutathione-dependent peroxidase activities, toward 1-chloro-2,4-dinitrobenzene and 5-hydroperoxyicosatetraenoic acid (5-HPETE), respectively (PubMed:12672824).","senescence-associated secretory phenotype","Mus musculus","Radiation promotes colorectal cancer initiation and progression by inducing senescence-associated inflammatory responses",10.1038/onc.2015.395,mmu01100,"Metabolic pathways",64292
Ptgs2,Cox2,"prostaglandin-endoperoxide synthase 2","PTGS2 may play a role in inflammation. PTGS2-null mice developed severe nephropathy and female reproductive failures.","altered intercellular communication","Mus musculus","Ceramide-induced and Age-Associated Increase in Macrophage COX-2 Expression Is Mediated Through Up-Regulation of NF-kappa B Activity",10.1126/science.1102847,mmu04064,"NF-kappa B signaling pathway",19225
Ptk2,"Fak; Fadk; Fak1","PTK2 protein tyrosine kinase 2","Play a role in the signal transduction of a number of pathways such as MAPK signalling, apoptosis, cellular proliferation, and cellular senescence. PTK2 deletion in the epidermis of mice suppresses tumour formation.","altered intercellular communication","Mus musculus","PTK2 rs7460 and rs7843014 Polymorphisms and Exceptional Longevity: A Functional Replication Study",10.1126/science.1102848,mmu04935,"Growth hormone synthesis, secretion and action",14083
Ptk2b,"Fak2; Pyk2; Raftk","PTK2 protein tyrosine kinase 2 beta","Non-receptor protein-tyrosine kinase that regulates reorganization of the actin cytoskeleton, cell polarization, cell migration, adhesion, spreading and bone remodeling. Plays a role in the regulation of the humoral immune response, and is required for normal levels of marginal B-cells in the spleen and normal migration of splenic B-cells.","cellular senescence","Mus musculus","Pyk2 is a Novel Tau Tyrosine Kinase that is Regulated by the Tyrosine Kinase Fyn",10.1126/science.1102849,mmu04912,"GnRH signaling pathway",19229
Ptpn1,"Ptp1b; Ptp-1b","protein tyrosine phosphatase, non-receptor type 1","The protein encoded by this gene is the founding member of the protein tyrosine phosphatase (PTP) family, which was isolated and identified based on its enzymatic activity and amino acid sequence. PTPs catalyze the hydrolysis of the phosphate monoesters specifically on tyrosine residues.","loss of proteostasis","Mus musculus","Protein Tyrosine Phosphatase 1B Inactivation Limits Aging-Associated Heart Failure in Mice",10.1126/science.1102850,mmu04910,"Insulin signaling pathway",19246
Ptpn11,"Bptp3; Sh-ptp2; Shp-2","protein tyrosine phosphatase, non-receptor type 11","PTPN11 is a signalling protein that plays a role in the signal transduction of many receptors that have been associated with ageing, such as GHR. Mutations in PTPN11 cause Noonan syndrome, which is often characterized by growth impairment and a disturbance of?GH1?secretion and?IGF1?signalling, even though this disease is probably due to a gain-of-function mutation.",others,"Mus musculus","Ptpn11 Deletion in CD4 + Cells Does Not Affect T Cell Development and Functions but Causes Cartilage Tumors in a T Cell-Independent Manner",10.1126/science.1102851,mmu04630,"JAK-STAT signaling pathway",19247
Pycr1,P5cr1,"pyrroline-5-carboxylate reductase 1","Housekeeping enzyme that catalyzes the last step in proline biosynthesis. Can utilize both NAD and NADP, but has higher affinity for NAD. Involved in the cellular response to oxidative stress.",others,"Mus musculus","Sublethal endoplasmic reticulum stress caused by the mutation of immunoglobulin heavy chain-binding protein induces the synthesis of a mitochondrial protein, pyrroline-5-carboxylate reductase 1",10.1126/science.1102852,unknown,Unknown,209027
Rack1,"Gnb2; Gnb2-; Gnb2-rs1","receptor for activated C kinase 1","The Receptor for Activated C Kinase 1 (RACK1) is a scaffold protein for different kinases and membrane receptors. It is a key mediator of various pathways and is involved in various biological events including development, immune response, brain activity and cancer.",others,"Mus musculus","Transcriptional regulation of RACK1 and modulation of its expression: Role of steroid hormones and significance in health and aging",10.1016/j.cellsig.2017.02.010,unknown,Unknown,14694
Rad21,"SCC; SCC1; mHR21","RAD21 cohesin complex component","Rad21/cohesin-mediated NF-κB signaling limits HSPC function during aging and selects for cohesin-deficient HSCs with myeloid-skewed differentiation.","altered intercellular communication","Mus musculus","Cohesin-mediated NF-κB signaling limits hematopoietic stem cell self-renewal in aging and inflammation",10.1084/jem.20181505,mmu04110,"Cell cycle",19357
Rad51,"Rad51a; Reca","Rad51 recombinase","Plays an important role in homologous strand exchange, a key step in DNA repair through homologous recombination (HR). Binds to single and double-stranded DNA and exhibits DNA-dependent ATPase activity. Catalyzes the recognition of homology and strand exchange between homologous DNA partners to form a joint molecule between a processed DNA break and the repair template.","genomic instability","Mus musculus","Impairment of BRCA1-related DNA double-strand break repair leads to ovarian aging in mice and humans",10.1126/science.1102853,unknown,Unknown,19361
Rad52,Rad52yh,"Rad52 homolog, DNA repair protein","Involved in double-stranded break repair. Plays a central role in genetic recombination and DNA repair by promoting the annealing of complementary single-stranded DNA and by stimulation of the RAD51 recombinase.","genomic instability","Mus musculus","Loss of Rad52 partially rescues tumorigenesis and T-cell maturation in Atm-deficient mice",10.1126/science.1102854,unknown,Unknown,19365
Rae1,"3230401I12Rik; D2Ertd342e; Mnrp; Mnrp41","ribonucleic acid export 1","Mice with haploinsufficiency of Bub3 and Rae1 have a short life span that is associated with the early onset of aging-related features.",others,"Mus musculus","Early aging-associated phenotypes in Bub3/Rae1 haploinsufficient mice",10.1126/science.1102855,unknown,Unknown,66679
Rb1,"Rb; Ppp1r130; Osrc","RB transcriptional corepressor 1","RB1 is a tumour suppressor that acts as a transcriptional regulator to control cell cycle progression. Mice with disrupted RB1 are not viable.",others,"Mus musculus","Mice Deficient for Rb Are Nonviable and Show Defects in Neurogenesis and Haematopoiesis",10.1126/science.1102856,mmu04218,"Cellular senescence",19645
Rb1cc1,"Cc1; Kiaa0203","RB1-inducible coiled-coil 1","Involved in autophagy. Regulates early events but also late events of autophagosome formation through direct interaction with Atg16L1.",others,"Mus musculus","Deletion of autophagy inducer RB1CC1 results in degeneration of the retinal pigment epithelium",10.1126/science.1102857,mmu04211,"Longevity regulating pathway",12421
Recql4,Recq4,"RecQ protein-like 4","DNA-dependent ATPase (By similarity). May play a role in development of the palate and the limbs. May modulate chromosome segregation.","genomic instability","Mus musculus","RECQL4 in genomic instability and aging",10.1126/science.1102858,unknown,Unknown,79456
Rela,"p65; Nfkb3","v-rel reticuloendotheliosis viral oncogene homolog A (avian)","Also known as NFKB3, RELA is a component of the NF-kappa-B complex, involved in oxidative pathways and a myriad of other processes. Its role in ageing is unclear, but the NF-kappa-B complex appears to be important in age-related changes in inflammation and maybe in other age-related processes too.","altered intercellular communication","Mus musculus","Embryonic Lethality and Liver Degeneration in Mice Lacking the RelA Component of NF-kappa B",10.1126/science.1102859,mmu04211,"Longevity regulating pathway",19697
