Symbol,Alias,Description,Function,Gene_Set,Species,Literature_Name,Literature_Link,KEGG_ID,KEGG_Name,Gene_ID
Tnfaip3,"Zinc finger protein a20","TNF Alpha Induced Protein 3","Ubiquitin-editing enzyme that contains both ubiquitin ligase and deubiquitinase activities. Involved in immune and inflammatory responses signaled by cytokines, such as TNF-alpha and IL-1 beta, or pathogens via Toll-like receptors (TLRs) through terminating NF-kappa-B activity. Essential component of a ubiquitin-editing protein complex, comprising also RNF11, ITCH and TAX1BP1, that ensures the transient nature of inflammatory signaling pathways. In cooperation with TAX1BP1 promotes disassembly of E2-E3 ubiquitin protein ligase complexes in IL-1R and TNFR-1 pathways; affected are at least E3 ligases TRAF6, TRAF2 and BIRC2, and E2 ubiquitin-conjugating enzymes UBE2N and UBE2D3. In cooperation with TAX1BP1 promotes ubiquitination of UBE2N and proteasomal degradation of UBE2N and UBE2D3.","NF-κB related gene","Mus musculus","A20 prevents inflammasome-dependent arthritis by inhibiting macrophage necroptosis through its ZnF7 ubiquitin-binding domain",10.1038/s41556-019-0324-3,mmu04064,"NF-kappa B signaling pathway",21929
Tnfrsf11a,Rank,"TNF Receptor Superfamily Member 11a","Receptor for TNFSF11/RANKL/TRANCE/OPGL; essential for RANKL-mediated osteoclastogenesis. Involved in the regulation of interactions between T-cells and dendritic cells.","NF-κB related gene","Mus musculus","Articular cartilage protection in Ctsk -/- mice is associated with cellular and molecular changes in subchondral bone and cartilage matrix",10.1002/jcp.26745,mmu04064,"NF-kappa B signaling pathway",21934
Tnfrsf13c,Cd268,"TNF Receptor Superfamily Member 13C","B-cell receptor specific for TNFSF13B/TALL1/BAFF/BLyS. Promotes the survival of mature B-cells and the B-cell response.","NF-κB related gene","Mus musculus","mTOR-Dependent and Independent Survival Signaling by PI3K in B Lymphocytes",10.1371/journal.pone.0146955,mmu04064,"NF-kappa B signaling pathway",72049
Tnfrsf1a,Tnf-r-i,"TNF Receptor Superfamily Member 1A","Receptor for TNFSF2/TNF-alpha and homotrimeric TNFSF1/lymphotoxin-alpha. The adapter molecule FADD recruits caspase-8 to the activated receptor. The resulting death-inducing signaling complex (DISC) performs caspase-8 proteolytic activation which initiates the subsequent cascade of caspases (aspartate-specific cysteine proteases) mediating apoptosis. Contributes to the induction of non-cytocidal TNF effects including anti-viral state and activation of the acid sphingomyelinase.","senescence-associated secretory phenotype","Mus musculus","RIPK1 maintains epithelial homeostasis by inhibiting apoptosis and necroptosis",10.1038/nature13608,mmu04010,"MAPK signaling pathway",21937
Tnfrsf1b,Tnfbr,"TNF Receptor Superfamily Member 1B","Receptor with high affinity for TNFSF2/TNF-alpha and approximately 5-fold lower affinity for homotrimeric TNFSF1/lymphotoxin-alpha. The TRAF1/TRAF2 complex recruits the apoptotic suppressors BIRC2 and BIRC3 to TNFRSF1B/TNFR2. This receptor mediates most of the metabolic effects of TNF-alpha. Isoform 2 blocks TNF-alpha-induced apoptosis, which suggests that it regulates TNF-alpha function by antagonizing its biological activity.","senescence-associated secretory phenotype","Mus musculus","Chronic disruptions of circadian sleep regulation induce specific proinflammatory responses in the rat colon",10.1080/07420528.2017.1361436,mmu04060,"Cytokine-cytokine receptor interaction",21938
Tnfsf11,Rankl,"TNF Superfamily Member 11","Cytokine that binds to TNFRSF11B/OPG and to TNFRSF11A/RANK. Osteoclast differentiation and activation factor. Augments the ability of dendritic cells to stimulate naive T-cell proliferation. May be an important regulator of interactions between T-cells and dendritic cells and may play a role in the regulation of the T-cell-dependent immune response. May also play an important role in enhanced bone-resorption in humoral hypercalcemia of malignancy. Induces osteoclastogenesis by activating multiple signaling pathways in osteoclast precursor cells, chief among which is induction of long lasting oscillations in the intracellular concentration of Ca (2+) resulting in the activation of NFATC1, which translocates to the nucleus and induces osteoclast-specific gene transcription to allow differentiation of osteoclasts. During osteoclast differentiation, in a TMEM64 and ATP2A2-dependent manner induces activation of CREB1 and mitochondrial ROS generation necessary for proper osteoclast generation.","NF-κB related gene","Mus musculus","Erythropoietin does not improve fracture healing in aged mice",10.1016/j.exger.2019.04.005,mmu04064,"NF-kappa B signaling pathway",21943
Tnfsf13b,Baff,"TNF Superfamily Member 13","Cytokine that binds to TNFRSF13B/TACI and TNFRSF17/BCMA. TNFSF13/APRIL binds to the same 2 receptors. Together, they form a 2 ligands -2 receptors pathway involved in the stimulation of B- and T-cell function and the regulation of humoral immunity. A third B-cell specific BAFF-receptor (BAFFR/BR3) promotes the survival of mature B-cells and the B-cell response.","NF-κB related gene","Mus musculus","Molecular structure, distribution, and immunology function of TNFSF13B (BAFF) in Nile tilapia (Oreochromis niloticus)",10.1016/j.fsi.2016.02.026,mmu04064,"NF-kappa B signaling pathway",24099
Tnfsf14,Hvem-l,"TNF Superfamily Member 14","Cytokine that binds to TNFRSF3/LTBR. Binding to the decoy receptor TNFRSF6B modulates its effects. Acts as a ligand for TNFRSF14/HVEM . Upon binding to TNFRSF14/HVEM, delivers costimulatory signals to T cells, leading to T cell proliferation and IFNG production.","NF-κB related gene","Mus musculus","Myocyte-derived Tnfsf14 is a survival factor necessary for myoblast differentiation and skeletal muscle regeneration",10.1038/cddis.2015.375,mmu04064,"NF-kappa B signaling pathway",50930
Top1,"Scl-70 Antigen","topoisomerase (DNA) I","This gene encodes a DNA topoisomerase, an enzyme that controls and alters the topologic states of DNA during transcription. This enzyme catalyzes the transient breaking and rejoining of a single strand of DNA which allows the strands to pass through one another, thus altering the topology of DNA.",others,"Mus musculus","DNA Topoisomerase I in the Mus musculus Central Nervous System: Age and Sex Dependence",10.1126/science.1102909,unknown,Unknown,21969
Top2a,"DNA Topoisomerase 2-Alpha","topoisomerase (DNA) II alpha","Control of topological states of DNA by transient breakage and subsequent rejoining of DNA strands. Topoisomerase II makes double-strand breaks. Essential during mitosis and meiosis for proper segregation of daughter chromosomes. May play a role in regulating the period length of ARNTL/BMAL1 transcriptional oscillation.","cellular senescence","Mus musculus","Characterization of cDNA encoding the mouse DNA topoisomerase II that can complement the budding yeast top2 mutation",10.1126/science.1102910,unknown,Unknown,21973
Top2b,"D230016L12Rik; Top-2","topoisomerase (DNA) II beta","Control of topological states of DNA by transient breakage and subsequent rejoining of DNA strands. Topoisomerase II makes double-strand breaks.",others,"Mus musculus","Topoisomerase IIβ and its role in different biological contexts",10.1126/science.1102911,unknown,Unknown,21974
Top3b,"Topoisomerase (DNA) III Beta","topoisomerase (DNA) III beta","This gene encodes a DNA topoisomerase, an enzyme that controls and alters the topologic states of DNA during transcription. This enzyme catalyzes the transient breaking and rejoining of a single strand of DNA which allows the strands to pass through one another, thus relaxing the supercoils and altering the topology of DNA. The enzyme interacts with DNA helicase SGS1 and plays a role in DNA recombination.","altered intercellular communication","Mus musculus","Development of Autoimmunity in Mice Lacking DNA Topoisomerase 3beta",10.1126/science.1102912,unknown,Unknown,21976
Topors,Tp53bpl,"topoisomerase I binding, arginine/serine-rich","Functions as an E3 ubiquitin-protein ligase and as a E3 SUMO1-protein ligase. Probable tumor suppressor involved in cell growth, cell proliferation and apoptosis that regulates p53/TP53 stability through ubiquitin-dependent degradation. May regulate chromatin modification through sumoylation of several chromatin modification-associated proteins. May be involved in DNA-damage-induced cell death through IKBKE sumoylation.","loss of proteostasis","Mus musculus","DJ-1 restores p53 transcription activity inhibited by Topors/p53BP3",10.1126/science.1102913,unknown,Unknown,106021
Tp53,"P53; Lfs1","transformation related protein 53","TP53 is a tumour suppressor involved in cell cycle regulation, apoptosis, and DNA repair. Several lines of evidence from model organisms link TP53 to ageing, in agreement with its DNA damage protection role.",others,"Mus musculus","Relevance of the p53-MDM2 Axis to Aging",10.1126/science.1102914,unknown,Unknown,22059
Tpp2,"Tpp-2; TppII","tripeptidyl peptidase II","Component of the proteolytic cascade acting downstream of the 26S proteasome in the ubiquitin-proteasome pathway. May be able to complement the 26S proteasome function to some extent under conditions in which the latter is inhibited.","loss of proteostasis","Mus musculus","Early-onset Evans syndrome, immunodeficiency, and premature immunosenescence associated with tripeptidyl-peptidase II deficiency",10.1126/science.1102915,unknown,Unknown,22019
Tradd,"Tumor necrosis factor receptor type 1 associated death domain protein","TNFRSF1A Associated Via Death Domain","The nuclear form acts as a tumor suppressor by preventing ubiquitination and degradation of isoform p19ARF/ARF of CDKN2A by TRIP12: acts by interacting with TRIP12, leading to disrupt interaction between TRIP12 and isoform p19ARF/ARF of CDKN2A (By similarity). Adapter molecule for TNFRSF1A/TNFR1 that specifically associates with the cytoplasmic domain of activated TNFRSF1A/TNFR1 mediating its interaction with FADD. Overexpression of TRADD leads to two major TNF-induced responses, apoptosis and activation of NF-kappa-B.","NF-κB related gene","Mus musculus","Impaired autophagy and APP processing in Alzheimer's disease: The potential role of Beclin 1 interactome",10.1016/j.pneurobio.2013.06.002,mmu04064,"NF-kappa B signaling pathway",71609
Traf1,Ebi6,"TNF Receptor Associated Factor 1","Adapter molecule that regulates the activation of NF-kappa-B and JNK. Plays a role in the regulation of cell survival and apoptosis. The heterotrimer formed by TRAF1 and TRAF2 is part of a E3 ubiquitin-protein ligase complex that promotes ubiquitination of target proteins, such as MAP3K14. The TRAF1/TRAF2 complex recruits the antiapoptotic E3 protein-ubiquitin ligases BIRC2 and BIRC3 to TNFRSF1B/TNFR2.","NF-κB related gene","Mus musculus","Inhibition of nitric oxide in LPS-stimulated macrophages of young and senescent mice by δ-tocotrienol and quercetin",10.1186/1476-511X-10-239,mmu04064,"NF-kappa B signaling pathway",22029
Traf2,Trap3,"TNF Receptor Associated Factor 2","Regulates activation of NF-kappa-B and JNK and plays a central role in the regulation of cell survival and apoptosis. Required for normal antibody isotype switching from IgM to IgG. Has E3 ubiquitin-protein ligase activity and promotes 'Lys-63'-linked ubiquitination of target proteins, such as BIRC3, RIPK1 and TICAM1. Is an essential constituent of several E3 ubiquitin-protein ligase complexes, where it promotes the ubiquitination of target proteins by bringing them into contact with other E3 ubiquitin ligases. Regulates BIRC2 and BIRC3 protein levels by inhibiting their autoubiquitination and subsequent degradation; this does not depend on the TRAF2 RING-type zinc finger domain. Plays a role in mediating activation of NF-kappa-B by EIF2AK2/PKR. In complex with BIRC2 or BIRC3, promotes ubiquitination of IKBKE.","NF-κB related gene","Mus musculus","Bone Remodeling and the Role of TRAF3 in Osteoclastic Bone Resorption",10.3389/fimmu.2018.02263,mmu04064,"NF-kappa B signaling pathway",22030
Traf3,Lap1,"TNF Receptor Associated Factor 3","Regulates pathways leading to the activation of NF-kappa-B and MAP kinases, and plays a central role in the regulation of B-cell survival. Part of signaling pathways leading to the production of cytokines and interferon. Required for normal antibody isotype switching from IgM to IgG. Plays a role T-cell dependent immune responses. Plays a role in the regulation of antiviral responses. Is an essential constituent of several E3 ubiquitin-protein ligase complexes. May have E3 ubiquitin-protein ligase activity and promote 'Lys-63'-linked ubiquitination of target proteins. Inhibits activation of NF-kappa-B in response to LTBR stimulation. Inhibits TRAF2-mediated activation of NF-kappa-B. Down-regulates proteolytic processing of NFKB2, and thereby inhibits non-canonical activation of NF-kappa-B. Promotes ubiquitination and proteasomal degradation of MAP3K14.","NF-κB related gene","Mus musculus","Bone Remodeling and the Role of TRAF3 in Osteoclastic Bone Resorption",10.3389/fimmu.2018.02263,mmu04064,"NF-kappa B signaling pathway",22031
Traf5,Rnf84,"TNF Receptor Associated Factor 5","Adapter protein and signal transducer that links members of the tumor necrosis factor receptor family to different signaling pathways by association with the receptor cytoplasmic domain and kinases. Mediates activation of NF-kappa-B and probably JNK. Seems to be involved in apoptosis. Plays a role in mediating activation of NF-kappa-B by EIF2AK2/PKR.","NF-κB related gene","Mus musculus","CHIP regulates bone mass by targeting multiple TRAF family members in bone marrow stromal cells",10.1038/s41413-018-0010-2,mmu04064,"NF-kappa B signaling pathway",22033
Traf6,Rnf85,"TNF Receptor Associated Factor 6","E3 ubiquitin ligase that, together with UBE2N and UBE2V1, mediates the synthesis of 'Lys-63'-linked-polyubiquitin chains conjugated to proteins, such as IKBKG, IRAK1, AKT1 and AKT2. Also mediates ubiquitination of free/unanchored polyubiquitin chain that leads to MAP3K7 activation. Leads to the activation of NF-kappa-B and JUN. May be essential for the formation of functional osteoclasts. Seems to also play a role in dendritic cells (DCs) maturation and/or activation. Represses c-Myb-mediated transactivation, in B-lymphocytes. Adapter protein that seems to play a role in signal transduction initiated via TNF receptor, IL-1 receptor and IL-17 receptor. Regulates osteoclast differentiation by mediating the activation of adapter protein complex 1 (AP-1) and NF-kappa-B, in response to RANK-L stimulation. Together with MAP3K8, mediates CD40 signals that activate ERK in B-cells and macrophages, and thus may play a role in the regulation of immunoglobulin production.","NF-κB related gene","Mus musculus","TLR-independent anti-inflammatory function of intestinal epithelial TRAF6 signalling prevents DSS-induced colitis in mice",10.1136/gutjnl-2014-308323,mmu04064,"NF-kappa B signaling pathway",22034
Trap1,Hsp75,"TNF receptor-associated protein 1","Chaperone that expresses an ATPase activity. Involved in maintaining mitochondrial function and polarization, downstream of PINK1 and mitochondrial complex I. Is a negative regulator of mitochondrial respiration able to modulate the balance between oxidative phosphorylation and aerobic glycolysis.","mitochondrial dysfunction","Mus musculus","Past, present, and emerging roles of mitochondrial heat shock protein TRAP1 in the metabolism and regulation of cancer stem cells",10.1126/science.1102916,unknown,Unknown,68015
Trim25,Rnf147,"Tripartite Motif Containing 25","unctions as a ubiquitin E3 ligase and as an ISG15 E3 ligase . Involved in innate immune defense against viruses by mediating ubiquitination of DDX58 and IFIH1. Mediates 'Lys-63'-linked polyubiquitination of the DDX58 N-terminal CARD-like region and may play a role in signal transduction that leads to the production of interferons in response to viral infection . Mediates 'Lys-63'-linked polyubiquitination of IFIH1 . Promotes ISGylation of 14-3-3 sigma (SFN), an adapter protein implicated in the regulation of a large spectrum signaling pathway . Mediates estrogen action in various target organs . Mediates the ubiquitination and subsequent proteasomal degradation of ZFHX3.","NF-κB related gene","Mus musculus","The molecular mechanisms of estrogen action against senile disease",10.3143/geriatrics.36.95,mmu04064,"NF-kappa B signaling pathway",217069
Trp53bp1,Tp53bp1,"transformation related protein 53 binding protein 1","Double-strand break (DSB) repair protein involved in response to DNA damage, telomere dynamics and class-switch recombination (CSR) during antibody genesis.","genomic instability","Mus musculus","β Cell Aging Markers Have Heterogeneous Distribution and Are Induced by Insulin Resistance",10.1126/science.1102917,unknown,Unknown,27223
Trp63,"P63; P73l; Tp73l; Tp63","transformation related protein 63","Acts as a sequence specific DNA binding transcriptional activator or repressor. The isoforms contain a varying set of transactivation and auto-regulating transactivation inhibiting domains thus showing an isoform specific activity.","genomic instability","Mus musculus","A new mutation in TP63 is associated with age-related pathology",10.1126/science.1102918,unknown,Unknown,22061
Trp73,"P73; Tp73","transformation related protein 73","Participates in the apoptotic response to DNA damage. Isoforms containing the transactivation domain are pro-apoptotic, isoforms lacking the domain are anti-apoptotic and block the function of p53 and transactivating p73 isoforms. May be a tumor suppressor protein.","genomic instability","Mus musculus","FDXR regulates TP73 tumor suppressor via IRP2 to modulate aging and tumor suppression",10.1126/science.1102919,unknown,Unknown,22062
Trpv1,"Otrpc1; Trpv1alpha","transient receptor potential cation channel, subfamily V, member 1","Ligand-activated non-selective calcium permeant cation channel involved in detection of noxious chemical and thermal stimuli. Seems to mediate proton influx and may be involved in intracellular acidosis in nociceptive neurons.",others,"Mus musculus","TRPV1 pain receptors regulate longevity and metabolism by neuropeptide signaling",10.1126/science.1102920,unknown,Unknown,193034
Tsc1,Kiaa0243,"TSC complex subunit 1","In complex with TSC2, inhibits the nutrient-mediated or growth factor-stimulated phosphorylation of S6K1 and EIF4EBP1 by negatively regulating mTORC1 signaling (By similarity). Implicated as a tumor suppressor.","deregulated nutrient sensing","Mus musculus","Moderate lifelong overexpression of tuberous sclerosis complex 1 (TSC1) improves health and survival in mice",10.1126/science.1102921,mmu04211,"Longevity regulating pathway",64930
Tsc2,"Nafld; Tcs2","TSC complex subunit 2","In complex with TSC1, this tumor suppressor inhibits the nutrient-mediated or growth factor-stimulated phosphorylation of S6K1 and EIF4EBP1 by negatively regulating mTORC1 signaling .","deregulated nutrient sensing","Mus musculus","Autophagy mediators (FOXO1, SESN3 and TSC2) in Lewy body disease and aging",10.1126/science.1102922,mmu04211,"Longevity regulating pathway",22084
Txn1,"Trx; Txn","thioredoxin 1","TXN plays a role in regulating the cellular redox status. Some evidence also indicates TXN is a growth-suppressor. Its overexpression in mice increases lifespan, but it is not known whether the ageing process is affected.",others,"Mus musculus","Continuous Overexpression of Thioredoxin 1 Enhances Cancer Development and Does Not Extend Maximum Lifespan in Male C57BL/6 Mus musculus",10.1126/science.1102923,unknown,Unknown,22166
Ubb,"Rps27a; Uba522","ubiquitin B","Exists either covalently attached to another protein, or free (unanchored). When covalently bound, it is conjugated to target proteins via an isopeptide bond either as a monomer (monoubiquitin), a polymer linked via different Lys residues of the ubiquitin (polyubiquitin chains) or a linear polymer linked via the initiator Met of the ubiquitin (linear polyubiquitin chains).","loss of proteostasis","Mus musculus","Long-term proteasomal inhibition in transgenic mice by UBB(+1) expression results in dysfunction of central respiration control reminiscent of brainstem neuropathology in Alzheimer patients",10.1126/science.1102924,mmu04137,"Mitophagy - animal",22187
Ube2i,"Ubc9; Ubce2i; Ubce9","ubiquitin-conjugating enzyme E2I","Accepts the ubiquitin-like proteins SUMO1, SUMO2 and SUMO3 from the UBLE1A-UBLE1B E1 complex and catalyzes their covalent attachment to other proteins with the help of an E3 ligase such as RANBP2, CBX4 and ZNF451. Can catalyze the formation of poly-SUMO chains. Essential for nuclear architecture, chromosome segregation and embryonic viability.","genomic instability","Mus musculus","Sumoylation at chromatin governs coordinated repression of a transcriptional program essential for cell growth and proliferation",10.1126/science.1102925,mmu04064,"NF-kappa B signaling pathway",22196
Uchl1,"AW822034; C88048","ubiquitin carboxy-terminal hydrolase L1","Ubiquitin-protein hydrolase involved both in the processing of ubiquitin precursors and of ubiquitinated proteins (Probable). This enzyme is a thiol protease that recognizes and hydrolyzes a peptide bond at the C-terminal glycine of ubiquitin.","loss of proteostasis","Mus musculus","Loss of UCHL1 promotes age-related degenerative changes in the enteric nervous system",10.1126/science.1102926,unknown,Unknown,22223
Ucp1,"Slc25a7; Ucp","uncoupling protein 1 (mitochondrial, proton carrier)","Mitochondrial protein responsible for thermogenic respiration, a specialized capacity of brown adipose tissue and beige fat that participates in non-shivering adaptive thermogenesis to temperature and diet variations and more generally to the regulation of energy balance.","mitochondrial dysfunction","Mus musculus","A PRDM16-Driven Metabolic Signal from Adipocytes Regulates Precursor Cell Fate",10.1126/science.1102927,unknown,Unknown,22227
Ucp2,Slc25a8,"uncoupling protein 2 (mitochondrial, proton carrier)","UCP are mitochondrial transporter proteins that create proton leaks across the inner mitochondrial membrane, thus uncoupling oxidative phosphorylation from ATP synthesis. As a result, energy is dissipated in the form of heat.","mitochondrial dysfunction","Mus musculus","Uncoupling protein 2 protects mice from aging",10.1126/science.1102928,unknown,Unknown,22228
Ucp3,Slc25a9,"uncoupling protein 3 (mitochondrial, proton carrier)","Mitochondrial uncoupling proteins create proton leaks across the inner mitochondrial membrane to uncouple oxidative phosphorylation from ATP synthesis resulting in energy being dissipated as heat. UCP3, whose gene has two splice variants, appears thus to be involved in thermogenesis. Some results from mice suggest that UCP3 might protect against oxidative damage.","mitochondrial dysfunction","Mus musculus","Energy Metabolism in Uncoupling Protein 3 Gene Knockout Mice",10.1126/science.1102929,unknown,Unknown,22229
Ulk1,mKIAA0722,"unc-51 like kinase 1","Serine/threonine-protein kinase involved in autophagy in response to starvation.",others,"Mus musculus","AMPK activation of muscle autophagy prevents fasting-induced hypoglycemia and myopathy during aging",10.1126/science.1102930,mmu04211,"Longevity regulating pathway",22241
Vcam1,Cd106,"Vascular Cell Adhesion Molecule 1","mportant in cell-cell recognition. Appears to function in leukocyte-endothelial cell adhesion. Interacts with integrin alpha-4/beta-1 (ITGA4/ITGB1) on leukocytes, and mediates both adhesion and signal transduction. The VCAM1/ITGA4/ITGB1 interaction may play a pathophysiologic role both in immune responses and in leukocyte emigration to sites of inflammation.","NF-κB related gene","Mus musculus","Aged blood impairs hippocampal neural precursor activity and activates microglia via brain endothelial cell VCAM1",10.1038/s41591-019-0440-4,mmu04064,"NF-kappa B signaling pathway",22329
Vcp,"CDC48; p97","valosin containing protein","Necessary for the fragmentation of Golgi stacks during mitosis and for their reassembly after mitosis. Involved in the formation of the transitional endoplasmic reticulum (tER). The transfer of membranes from the endoplasmic reticulum to the Golgi apparatus occurs via 50-70 nm transition vesicles which derive from part-rough, part-smooth transitional elements of the endoplasmic reticulum (tER).","loss of proteostasis","Mus musculus","Skeletal Muscle-Specific Methyltransferase METTL21C Trimethylates p97 and Regulates Autophagy-Associated Protein Breakdown",10.1126/science.1102931,unknown,Unknown,269523
