Symbol,Alias,Description,Function,Gene_Set,Species,Literature_Name,Literature_Link,KEGG_ID,KEGG_Name,Gene_ID
Ehmt1,"Histone-Lysine N-Methyltransferase EHMT1","euchromatic histone methyltransferase 1","Histone methyltransferase that specifically mono- and dimethylates 'Lys-9' of histone H3 (H3K9me1 and H3K9me2, respectively) in euchromatin. H3K9me represents a specific tag for epigenetic transcriptional repression by recruiting HP1 proteins to methylated histones. Also weakly methylates 'Lys-27' of histone H3 (H3K27me). Also required for DNA methylation, the histone methyltransferase activity is not required for DNA methylation, suggesting that these 2 activities function independently. Probably targeted to histone H3 by different DNA-binding proteins like E2F6, MGA, MAX and/or DP1. During G0 phase, it probably contributes to silencing of MYC- and E2F-responsive genes, suggesting a role in G0/G1 transition in cell cycle. In addition to the histone methyltransferase activity, also methylates non-histone proteins: mediates dimethylation of 'Lys-373' of p53/TP53.","epigenetic alterations","Mus musculus","Histone methyltransferases G9a and GLP form heteromeric complexes and are both crucial for methylation of euchromatin at H3-K9",10.1126/science.1102667,mmu04211,"Longevity regulating pathway",77683
Ehmt2,"Histone H3-K9 Methyltransferase 3","euchromatic histone lysine N-methyltransferase 2","Histone methyltransferase that specifically mono- and dimethylates 'Lys-9' of histone H3 (H3K9me1 and H3K9me2, respectively) in euchromatin. H3K9me represents a specific tag for epigenetic transcriptional repression by recruiting HP1 proteins to methylated histones. Also mediates monomethylation of 'Lys-56' of histone H3 (H3K56me1) in G1 phase, leading to promote interaction between histone H3 and PCNA and regulating DNA replication. Also weakly methylates 'Lys-27' of histone H3 (H3K27me). Also required for DNA methylation, the histone methyltransferase activity is not required for DNA methylation, suggesting that these 2 activities function independently. Probably targeted to histone H3 by different DNA-binding proteins like E2F6, MGA, MAX and/or DP1. May also methylate histone H1. In addition to the histone methyltransferase activity, also methylates non-histone proteins: mediates dimethylation of 'Lys-373' of p53/TP53. Also methylates CDYL, WIZ, ACIN1, DNMT1, HDAC1, ERCC6, KLF12 and itself.","epigenetic alterations","Mus musculus","G9a histone methyltransferase plays a dominant role in euchromatic histone H3 lysine 9 methylation and is essential for early embryogenesis",10.1126/science.1102668,mmu04211,"Longevity regulating pathway",110147
Eif4e,"EIF-4F 25 KDa Subunit","eukaryotic translation initiation factor 4E","Recognizes and binds the 7-methylguanosine-containing mRNA cap during an early step in the initiation of protein synthesis and facilitates ribosome binding by inducing the unwinding of the mRNAs secondary structures. May play an important role in spermatogenesis through translational regulation of stage-specific mRNAs during germ cell development. Its translation stimulation activity is repressed by binding to the complex CYFIP1-FMR1. Component of the CYFIP1-EIF4E-FMR1 complex which binds to the mRNA cap and mediates translational repression. In the CYFIP1-EIF4E-FMR1 complex this subunit mediates the binding to the mRNA cap.",others,"Mus musculus","The fragile X syndrome protein represses activity-dependent translation through CYFIP1, a new 4E-BP",10.1126/science.1102669,mmu04211,"Longevity regulating pathway",13684
Eif4e1b,"Eukaryotic Translation Initiation Factor 4E Type 1B","eukaryotic translation initiation factor 4E family member 1B","Recognizes and binds the 7-methylguanosine-containing mRNA cap during an early step in the initiation of protein synthesis and facilitates ribosome binding by inducing the unwinding of the mRNAs secondary structures.",others,"Mus musculus","Large-scale gene trapping in C57BL/6N mouse embryonic stem cells",10.1126/science.1102670,mmu04211,"Longevity regulating pathway",218268
Eif4e2,"Eukaryotic Translation Initiation Factor 4E Homologous Protein","eukaryotic translation initiation factor 4E member 2","Recognizes and binds the 7-methylguanosine-containing mRNA cap during an early step in the initiation.",others,"Mus musculus","Characterization of mammalian eIF4E-family members",10.1126/science.1102671,mmu04211,"Longevity regulating pathway",26987
Eif4ebp1,"EIF4E-Binding Protein 1","eukaryotic translation initiation factor 4E binding protein 1","Repressor of translation initiation that regulates EIF4E activity by preventing its assembly into the eIF4F complex: hypophosphorylated form competes with EIF4G1/EIF4G3 and strongly binds to EIF4E, leading to repress translation. In contrast, hyperphosphorylated form dissociates from EIF4E, allowing interaction between EIF4G1/EIF4G3 and EIF4E, leading to initiation of translation.",others,"Mus musculus","Control of PHAS-I by insulin in 3T3-L1 adipocytes  Synthesis, degradation, and phosphorylation by a rapamycin-sensitive and mitogen-activated protein kinase-independent pathway",10.1126/science.1102672,mmu04211,"Longevity regulating pathway",13685
Eif5a2,"Eukaryotic Initiation Factor 5A Isoform 2","eukaryotic translation initiation factor 5A2","mRNA-binding protein involved in translation elongation. Has an important function at the level of mRNA turnover, probably acting downstream of decapping. Involved in actin dynamics and cell cycle progression, mRNA decay and probably in a pathway involved in stress response and maintenance of cell wall integrity. Functions as a regulator of apoptosis. Mediates effects of polyamines on neuronal process extension and survival.","loss of proteostasis","Mus musculus","Overexpression of eIF-5A2 in mice causes accelerated organismal aging by increasing chromosome instability",10.1126/science.1102673,unknown,Unknown,208691
Eln,"Wbs; Ws; Svas",elastin,"ELN is structural protein that may be related to arterial morphogenesis. Mice without ELN die of obstructive arterial disease.","altered intercellular communication","Mus musculus","Multisystem Study of 20 Older Adults With Williams Syndrome",10.1126/science.1102674,unknown,Unknown,13717
Emd,"LEM Domain Containing 5",emerin,"Stabilizes and promotes the formation of a nuclear actin cortical network. Stimulates actin polymerization in vitro by binding and stabilizing the pointed end of growing filaments. Inhibits beta-catenin activity by preventing its accumulation in the nucleus. Acts by influencing the nuclear accumulation of beta-catenin through a CRM1-dependent export pathway.",others,"Mus musculus","Loss of A-type lamin expression compromises nuclear envelope integrity leading to muscular dystrophy",10.1126/science.1102675,unknown,Unknown,13726
Eno1,"Eno; Eno-1","enolase 1, alpha non-neuron","DNA-binding transcription repressor activity, RNA polymerase II-specific.",others,"Mus musculus","Alcohol drinking exacerbates neural and behavioral pathology in the 3xTg-AD mouse model of Alzheimer's disease",10.1016/bs.irn.2019.10.017,mmu04066,"HIF-1 signaling pathway",13806
Eno2,"En;, Eno-2; N; NSE","enolase 2, gamma neuronal","It has phosphopyruvate hydratase activity.",others,"Mus musculus","Alcohol drinking exacerbates neural and behavioral pathology in the 3xTg-AD mouse model of Alzheimer's disease",10.1016/bs.irn.2019.10.017,mmu04066,"HIF-1 signaling pathway",13807
Ep300,"Protein 2-Hydroxyisobutyryltransferase P300","E1A binding protein p300","Functions as histone acetyltransferase and regulates transcription via chromatin remodeling.","genomic instability","Mus musculus","Regulation of unfolded protein response modulator XBP1s by acetylation and deacetylation",10.1126/science.1102676,mmu04935,"Growth hormone synthesis, secretion and action",328572
Epor,Epo-r,"erythropoietin receptor","This gene encodes the erythropoietin receptor which is a member of the cytokine receptor family. Upon erythropoietin binding, this receptor activates Jak2 tyrosine kinase which activates different intracellular pathways including: Ras/MAP kinase, phosphatidylinositol 3-kinase and STAT transcription factors. The stimulated erythropoietin receptor appears to have a role in erythroid cell survival.","cellular senescence","Mus musculus","Erythropoietin Signaling Increases Choroidal Macrophages and Cytokine Expression, and Exacerbates Choroidal Neovascularization",10.1126/science.1102677,mmu04630,"JAK-STAT signaling pathway",13857
Eps8,Dfnb102,"epidermal growth factor receptor pathway substrate 8","Stimulates guanine exchange activity of SOS1. May play a role in membrane ruffling and remodeling of the actin cytoskeleton.",others,"Mus musculus","Progressive hearing loss and gradual deterioration of sensory hair bundles in the ears of mice lacking the actin-binding protein Eps8L2",10.1126/science.1102678,unknown,Unknown,13860
Erbb2,"Tyrosine Kinase-Type Cell Surface Receptor HER2","erb-b2 receptor tyrosine kinase 2","Protein tyrosine kinase that is part of several cell surface receptor complexes, but that apparently needs a coreceptor for ligand binding. Essential component of a neuregulin-receptor complex, although neuregulins do not interact with it alone. GP30 is a potential ligand for this receptor. Regulates outgrowth and stabilization of peripheral microtubules (MTs). Upon ERBB2 activation, the MEMO1-RHOA-DIAPH1 signaling pathway elicits the phosphorylation and thus the inhibition of GSK3B at cell membrane.",others,"Mus musculus","Prediction of the coding sequences of mouse homologues of KIAA gene: III  The complete nucleotide sequences of 500 mouse KIAA-homologous cDNAs identified by screening of terminal sequences of cDNA clones randomly sampled from size-fractionated libraries",10.1126/science.1102679,mmu04010,"MAPK signaling pathway",13866
Ercc1,"Excision Repair Cross-Complementation Group 1","excision repair cross-complementing rodent repair deficiency, complementation group 1","Non-catalytic component of a structure-specific DNA repair endonuclease responsible for the 5'-incision during DNA repair. Responsible, in conjunction with SLX4, for the first step in the repair of interstrand cross-links (ICL). Participates in the processing of anaphase bridge-generating DNA structures, which consist in incompletely processed DNA lesions arising during S or G2 phase, and can result in cytokinesis failure.","genomic instability","Mus musculus","Evolution and mutagenesis of the mammalian excision repair gene ERCC-1",10.1126/science.1102680,unknown,Unknown,13870
Ercc2,"Excision Repair Cross-Complementation Group 2","excision repair cross-complementing rodent repair deficiency, complementation group 2","ATP-dependent 5'-3' DNA helicase, component of the general transcription and DNA repair factor IIH (TFIIH) core complex, which is involved in general and transcription-coupled nucleotide excision repair (NER) of damaged DNA and, when complexed to CAK, in RNA transcription by RNA polymerase II. In NER, TFIIH acts by opening DNA around the lesion to allow the excision of the damaged oligonucleotide and its replacement by a new DNA fragment. The ATP-dependent helicase activity of XPD/ERCC2 is required for DNA opening. In transcription, TFIIH has an essential role in transcription initiation. When the pre-initiation complex (PIC) has been established, TFIIH is required for promoter opening and promoter escape. Phosphorylation of the C-terminal tail (CTD) of the largest subunit of RNA polymerase II by the kinase module CAK controls the initiation of transcription. XPD/ERCC2 acts by forming a bridge between CAK and the core-TFIIH complex. Involved in the regulation of vitamin-D receptor activity. As part of the mitotic spindle-associated MMXD complex it plays a role in chromosome segregation. Might have a role in aging process and could play a causative role in the generation of skin cancers.","genomic instability","Mus musculus","Disruption of the mouse xeroderma pigmentosum group D DNA repair/basal transcription gene results in preimplantation lethality",10.1126/science.1102681,unknown,Unknown,13871
Ercc3,"Excision Repair Cross-Complementation Group 3","excision repair cross-complementing rodent repair deficiency, complementation group 3","ATP-dependent 3'-5' DNA helicase, component of the general transcription and DNA repair factor IIH (TFIIH) core complex, which is involved in general and transcription-coupled nucleotide excision repair (NER) of damaged DNA and, when complexed to CAK, in RNA transcription by RNA polymerase II. In NER, TFIIH acts by opening DNA around the lesion to allow the excision of the damaged oligonucleotide and its replacement by a new DNA fragment. The ATPase activity of XPB/ERCC3, but not its helicase activity, is required for DNA opening. In transcription, TFIIH has an essential role in transcription initiation. When the pre-initiation complex (PIC) has been established, TFIIH is required for promoter opening and promoter escape. The ATP-dependent helicase activity of XPB/ERCC3 is required for promoter opening and promoter escape. Phosphorylation of the C-terminal tail (CTD) of the largest subunit of RNA polymerase II by the kinase module CAK controls the initiation of transcription.","genomic instability","Mus musculus","A murine ATFa-associated factor with transcriptional repressing activity",10.1126/science.1102682,unknown,Unknown,13872
Ercc4,"Excision Repair Cross-Complementation Group 4","excision repair cross-complementing rodent repair deficiency, complementation group 4","Catalytic component of a structure-specific DNA repair endonuclease responsible for the 5-prime incision during DNA repair. Involved in homologous recombination that assists in removing interstrand cross-link.","genomic instability","Mus musculus","Characterization of the mouse xpf DNA repair gene and differential expression during spermatogenesis",10.1126/science.1102683,unknown,Unknown,50505
Ercc5,"Ercm2; Xpgc","excision repair cross-complementing rodent repair deficiency, complementation group 5","Due to its role in DNA repair in association with the other ERCC proteins, it is possible ERCC5 plays a role in human ageing. Mutations in human ERCC5 cause Xeroderma pigmentosum group G, but have also been associated with features of Cockayne syndrome.","genomic instability","Mus musculus","Restricted Diet Delays Accelerated Ageing and Genomic Stress in DNA-repair-deficient Mice",10.1126/science.1102684,unknown,Unknown,22592
Ercc6,"Csb; Rad26; Armd5","excision repair cross-complementing rodent repair deficiency, complementation group 6","ERCC6 is involved in DNA repair and perhaps DNA unwinding. ERCC6-null mice show skin cancer predisposition, reduced growth, and neurologic dysfunction.",others,"Mus musculus","Impaired Genome Maintenance Suppresses the Growth Hormone--Insulin-Like Growth Factor 1 Axis in Mus musculus With Cockayne Syndrome",10.1126/science.1102685,unknown,Unknown,319955
Ercc8,"Excision Repair Cross-Complementation Group 8","excision repaiross-complementing rodent repair deficiency, complementation group 8","Substrate-recognition component of the CSA complex, a DCX (DDB1-CUL4-X-box) E3 ubiquitin-protein ligase complex, involved in transcription-coupled nucleotide excision repair.","genomic instability","Mus musculus","UVB irradiation-induced cancer predisposition in Cockayne syndrome group A (Csa) mutant mice",10.1126/science.1102686,unknown,Unknown,71991
Esr1,"Nr3a1; Era; Esr","estrogen receptor 1 (alpha)","ESR1 is a transcription factor that mediates the actions of estrogen. Mice without ESR1 were infertile and showed a variety of changes.","genomic instability","Mus musculus","Age-dependent Methylation of ESR1 Gene in Prostate Cancer",10.1126/science.1102687,unknown,Unknown,13982
Ets2,"AU022856; Ets-; Ets-2","E26 avian leukemia oncogene 2, 3' domain","Ets2 knockdown or knockout leads to increased IL-6, TNF-α, and IFN-β production in macrophages.","senescence-associated secretory phenotype","Mus musculus","Ets2 suppresses inflammatory cytokines through MAPK/NF-κB signaling and directly binds to the IL-6 promoter in macrophages",10.18632/aging.102480,unknown,Unknown,23872
Fas,"Apoptosis-Mediating Surface Antigen FAS","TNF receptor superfamily member 6","Cytokine that binds to TNFRSF6/FAS, a receptor that transduces the apoptotic signal into cells.",others,"Mus musculus","Generalized lymphoproliferative disease in mice, caused by a point mutation in the Fas ligand",10.1126/science.1102688,mmu04115,"p53 signaling pathway",14102
Fen1,"Flap Endonuclease 1","flap structure specific endonuclease 1","Structure-specific nuclease with 5'-flap endonuclease and 5'-3' exonuclease activities involved in DNA replication and repair. During DNA replication, cleaves the 5'-overhanging flap structure that is generated by displacement synthesis when DNA polymerase encounters the 5'-end of a downstream Okazaki fragment. It enters the flap from the 5'-end and then tracks to cleave the flap base, leaving a nick for ligation. Also involved in the long patch base excision repair (LP-BER) pathway, by cleaving within the apurinic/apyrimidinic (AP) site-terminated flap. Acts as a genome stabilization factor that prevents flaps from equilibrating into structurs that lead to duplications and deletions. Also possesses 5'-3' exonuclease activity on nicked or gapped double-stranded DNA, and exhibits RNase H activity. Also involved in replication and repair of rDNA and in repairing mitochondrial DNA.","genomic instability","Mus musculus","Functional domains within FEN-1 and RAD2 define a family of structure-specific endonucleases: implications for nucleotide excision repair",10.1126/science.1102689,unknown,Unknown,14156
Fgf21,Fgf-21,"fibroblast growth factor 21","Stimulates glucose uptake in differentiated adipocytes via the induction of glucose transporter SLC2A1/GLUT1 expression (but not SLC2A4/GLUT4 expression). Activity probably requires the presence of KLB.","deregulated nutrient sensing","Mus musculus","FGF-21 as a novel metabolic regulator",10.1126/science.1102690,mmu04010,"MAPK signaling pathway",56636
Fgf23,Phosphatonin,"fibroblast growth factor 23","Regulator of phosphate homeostasis. Inhibits renal tubular phosphate transport by reducing SLC34A1 levels.",others,"Mus musculus","Klotho converts canonical FGF receptor into a specific receptor for FGF23",10.1126/science.1102691,mmu04010,"MAPK signaling pathway",64654
Fgfr1,"Bfgfr; Flt-2; Cd331","fibroblast growth factor receptor 1","This particular family member binds both acidic and basic fibroblast growth factors and is involved in limb induction. Mutations in this gene have been associated with Pfeiffer syndrome, Jackson-Weiss syndrome, Antley-Bixler syndrome, osteoglophonic dysplasia, and autosomal dominant Kallmann syndrome 2. Chromosomal aberrations involving this gene are associated with stem cell myeloproliferative disorder and stem cell leukemia lymphoma syndrome.","altered intercellular communication","Mus musculus","Attenuation of FGF Signalling in Mus musculus Beta-Cells Leads to Diabetes",10.1126/science.1102692,mmu04010,"MAPK signaling pathway",14182
Fhl2,"FHL-2; SL; SLIM-3","four and a half LIM domains 2","Fhl2 deficiency leads to delayed neuroblast migration in vivo, premature astroglial differentiation of neural stem cells (NSCs) in vitro, and a gliosis-like accumulation of glial fibrillary acidic protein (GFAP)-positive astrocytes in vivo that substantially increases with age.","stem cell exhaustion","Mus musculus","Deficiency of Fhl2 leads to delayed neuronal cell migration and premature astrocyte differentiation",10.1242/jcs.228940,unknown,Unknown,14200
Flt1,"Vegfr1; Flt","FMS-like tyrosine kinase 1","a receptor for?VEGFA?involved in its signalling cascade. Mice without FLT1 die at embryonic stages. In mouse skeletal muscle FLT1 expression levels have been reported to decline with age.","epigenetic alterations","Mus musculus","Aging and Orchidectomy Modulate Expression of VEGF Receptors (Flt-1 and Flk-1) on Corpus Cavernosum of the Rat",10.1126/science.1102693,mmu04010,"MAPK signaling pathway",14254
Fos,"c-fos; Ap-1","FBJ osteosarcoma oncogene","The FOS oncogene plays an important role in development, cell proliferation, and differentiation. As part of the AP-1 transcriptional complex, FOS has been associated with age-related changes and with the attenuated cellular response in older cells.","cellular senescence","Mus musculus","Bioinformatic Analysis Reveals Key Genes and Pathways in Aging Brain of Senescence-accelerated Mouse P8 (SAMP8)",10.1126/science.1102694,mmu04935,"Growth hormone synthesis, secretion and action",14281
Foxm1,"Hfh-11; trident; Hnf-3","forkhead box M1","A transcriptional regulator that is important in development, FOXM1 may also play a role in cell proliferation.  Increased expression of FOXM1 in old mice restored hepatocyte proliferation to levels found in young animals.","deregulated nutrient sensing","Mus musculus","Growth Hormone Stimulates Proliferation of Old-Aged Regenerating Liver Through Forkhead Box m1b",10.1126/science.1102695,mmu04218,"Cellular senescence",14235
Foxo1,"Fkh1; Fkhr; Foxo1a","forkhead box O1","A transcription factor of the Fox family, FOXO1 is important in development. It also appears to regulate apoptotic signals.",others,"Mus musculus","Skeletal Muscle FOXO1 (FKHR) Transgenic Mice Have Less Skeletal Muscle Mass, Down-Regulated Type I (Slow twitch/red Muscle) Fiber Genes, and Impaired Glycemic Control",10.1126/science.1102696,mmu04211,"Longevity regulating pathway",56458
Foxo3,"Forkhead In Rhabdomyosarcoma-Like 1","forkhead box O3","Transcriptional activator that recognizes and binds to the DNA sequence 5'-[AG]TAAA[TC]A-3' and regulates different processes, such as apoptosis and autophagy.",others,"Mus musculus","FoxO3 coordinately activates protein degradation by the autophagic/lysosomal and proteasomal pathways in atrophying muscle cells",10.1126/science.1102697,mmu04211,"Longevity regulating pathway",56484
Foxo4,"Afx1; Mllt7","forkhead box O4","FOXO4 plays a role in development and in insulin  signalling.","deregulated nutrient sensing","Mus musculus","Targeted Apoptosis of Senescent Cells Restores Tissue Homeostasis in Response to Chemotoxicity and Aging",10.1126/science.1102698,mmu04068,"Fox0 signaling pathway",54601
Gadd45a,"Ddit; Ddit1; GADD45","growth arrest and DNA-damage-inducible 45 alpha","Deletion of Gadd45a improves the maintenance and function of intestinal stem cells (ISCs) and prolongs lifespan of telomerase-deficient mice (G3Terc -/-).","NF-κB related gene","Mus musculus","Telomeric epigenetic response mediated by Gadd45a regulates stem cell aging and lifespan",10.15252/embr.201745494,mmu04064,"NF-kappa B signaling pathway",13197
